date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:11	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/Duct%20Carcinoma/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://127.0.0.1:5000/home)
18:06:12	78635/78635	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20May%202024%2010:11:32%20GMT	http://127.0.0.1:5000/static/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/bootstrap/js/bootstrap.bundle.min.js	(from http://127.0.0.1:5000/upload)
18:06:12	3137/3137	---M--	200	added ('OK')	text/css	date:Thu,%2023%20May%202024%2010:11:31%20GMT	http://127.0.0.1:5000/static/css/style.css	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/css/style.css	(from http://127.0.0.1:5000/home)
18:06:12	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:36:12%20GMT	http://127.0.0.1:5000/static/logo_tr.png	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/logo_tr.1d.delayed	(from http://127.0.0.1:5000/home)
18:06:12	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225869c96cc8f19086aee625d670d741f9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/Duct%20Carcinoma/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://127.0.0.1:5000/home)
18:06:12	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/Duct%20Carcinoma/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://127.0.0.1:5000/home)
18:06:22	62428/62428	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2017:52:30%20GMT	https://www.gstatic.com/charts/loader.js	C:/My%20Web%20Sites/Duct%20Carcinoma/www.gstatic.com/charts/loader.js	(from http://127.0.0.1:5000/chart)
18:06:25	74524/74524	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:27	87520/87520	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.woff	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:29	691037/691037	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.svg	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:33	129590/129590	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.eot	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:35	34394/34394	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.eot	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:35	13584/13584	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:38	16804/16804	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.woff	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:41	34394/34394	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:43	129284/129284	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:43	144452/144452	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.svg	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:44	34096/34096	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:46	129590/129590	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:06:56	75408/75408	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:07:00	98016/98016	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.woff	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:07:03	839389/839389	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.svg	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:07:03	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:37:03%20GMT	http://127.0.0.1:5000/static/fonts/raleway/Raleway-Black.ttf	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/fonts/raleway/Raleway-Black.2e.delayed	(from http://127.0.0.1:5000/static/css/style.css)
18:07:04	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:37:04%20GMT	http://127.0.0.1:5000/static/fonts/raleway/Raleway-SemiBold.ttf	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/fonts/raleway/Raleway-SemiBold.2f.delayed	(from http://127.0.0.1:5000/static/css/style.css)
18:07:04	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:37:04%20GMT	http://127.0.0.1:5000/static/fonts/raleway/Raleway-Bold.ttf	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/fonts/raleway/Raleway-Bold.30.delayed	(from http://127.0.0.1:5000/static/css/style.css)
18:07:14	192122/192122	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.eot	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:07:15	192122/192122	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
18:07:17	191836/191836	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/webfonts/fa-solid-900.ttf	(from http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css)
